accession	uniprot_optimized	cspa_optimized	gene_symbol	hgnc_id	hgnc_symbol	ncbi_gene_id	ensembl_gene	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	n_sources_surface	n_sources_optimized
A0A0B4J266	1	0						0	0	0	0	0	0	1
A0A0B4J268	1	0						0	0	0	0	0	0	1
A0A0B4J271	1	0						0	0	0	0	0	0	1
A0A0B4J272	1	0						0	0	0	0	0	0	1
A0A0B4J273	1	0						0	0	0	0	0	0	1
A0A0B4J274	1	0						0	0	0	0	0	0	1
A0A0B4J275	1	0						0	0	0	0	0	0	1
A0A0B4J276	1	0						0	0	0	0	0	0	1
A0A0B4J277	1	0						0	0	0	0	0	0	1
A0A0B4J279	1	0						0	0	0	0	0	0	1
A0A0B4J280	1	0						0	0	0	0	0	0	1
A0A0B4J2D9	1	0						0	0	0	0	0	0	1
A0A0B4J2E0	1	0						0	0	0	0	0	0	1
A0A0B4J2H0	1	0						0	0	0	0	0	0	1
A0A0C4DH24	1	0						0	0	0	0	0	0	1
A0A0C4DH25	1	0						0	0	0	0	1	1	2
A0A0C4DH26	1	0						0	0	0	0	0	0	1
A0A0C4DH27	1	0						0	0	0	0	0	0	1
A0A0C4DH28	1	0						0	0	0	0	0	0	1
A0A0C4DH29	1	0						0	0	0	0	0	0	1
A0A0C4DH30	1	0						0	0	0	0	0	0	1
A0A0C4DH31	1	0						0	0	0	0	0	0	1
A0A0C4DH32	1	0						0	0	0	0	0	0	1
A0A0C4DH33	1	0						0	0	0	0	0	0	1
A0A0C4DH34	1	0						0	0	0	0	0	0	1
A0A0C4DH35	1	0						0	0	0	0	0	0	1
A0A0C4DH36	1	0						0	0	0	0	0	0	1
A0A0C4DH38	1	0						0	0	0	0	0	0	1
A0A0C4DH39	1	0						0	0	0	0	0	0	1
A0A0C4DH41	1	0						0	0	0	0	0	0	1
A0A0C4DH42	1	0						0	0	0	0	0	0	1
A0A0C4DH43	1	0						0	0	0	0	0	0	1
A0A0C4DH55	1	0						0	0	0	0	1	1	2
A0A0C4DH59	1	0						0	0	0	0	0	0	1
A0A0C4DH67	1	0						0	0	0	0	0	0	1
A0A0C4DH68	1	0						0	0	0	0	0	0	1
A0A0C4DH69	1	0						0	0	0	0	0	0	1
A0A0C4DH72	1	0						0	0	0	0	0	0	1
A0A0C4DH73	1	0						0	0	0	0	0	0	1
A0A0G2JMI3	1	0						0	0	0	0	0	0	1
A0A0G2JS06	1	0						0	0	0	0	0	0	1
A0A0J9YVY3	1	0						0	0	0	0	0	0	1
A0A0J9YX35	1	0						0	0	0	0	0	0	1
A0A0J9YX75	1	0						0	0	0	0	0	0	1
A0A0J9YXX1	1	0						0	0	0	0	0	0	1
A0A0J9YXY3	1	0						0	0	0	0	0	0	1
A0A0K0K1A3	1	0						0	0	0	0	0	0	1
A0A0K0K1A5	1	0						0	0	0	0	0	0	1
A0A0K0K1B3	1	0						0	0	0	0	0	0	1
A0A0K0K1C0	1	0						0	0	0	0	0	0	1
A0A0K0K1C4	1	0						0	0	0	0	0	0	1
A0A0K0K1D8	1	0						0	0	0	0	0	0	1
A0A0K0K1E9	1	0						0	0	0	0	0	0	1
A0A0K0K1G6	1	0						0	0	0	0	0	0	1
A0A0K0K1G8	1	0						0	0	0	0	0	0	1
A0A0K2S4Q6	1	0	CD300H	HGNC:52292	CD300H	100130520	ENSG00000284690	1	0	0	0	0	1	1
A0A0X1KG70	1	0	OR4M2B	HGNC:55109	OR4M2B	118568804	ENSG00000182974	1	0	0	0	0	1	1
A0A1B0GTQ4	1	0	MYMX	HGNC:52391	MYMX	101929726	ENSG00000262179	1	0	0	0	0	1	1
A0A1B0GTW7	1	0	CIROP	HGNC:53647	CIROP	100128908	ENSG00000283654	1	0	0	0	0	1	1
A0A1B0GV85	1	0	REELD1	HGNC:53638	REELD1	345051	ENSG00000250673	1	0	0	0	0	1	1
A0A1B0GWG4	1	0	SERTM2	HGNC:48576	SERTM2	401613	ENSG00000260802	0	0	0	0	0	0	1
A0A1B0GX31	1	0						0	0	0	0	0	0	1
A0A1B0GX49	1	0						0	0	0	0	0	0	1
A0A1B0GX51	1	0						0	0	0	0	0	0	1
A0A1B0GX56	1	0						0	0	0	0	0	0	1
A0A1B0GX68	1	0						0	0	0	0	0	0	1
A0A1B0GX78	1	0						0	0	0	0	0	0	1
A0A1B0GX95	1	0						0	0	0	0	0	0	1
A0A1B0GXF2	1	0						0	0	0	0	0	0	1
A0A1W2PQU2	1	0	KANTR	HGNC:49510	KANTR	102723508	ENSG00000232593	1	0	0	0	0	1	1
A0A286YEU6	1	0	OR1R1	HGNC:8226	OR1R1	9596	ENSG00000180042	1	0	0	0	0	1	1
A0A2R8Y4L6	1	0	OR5D3	HGNC:8336	OR5D3	8594	ENSG00000186886	1	0	0	0	0	1	1
A0A2R8Y7Y5	1	0	CIST1	HGNC:55823	CIST1	729966	ENSG00000284797	1	0	0	0	0	1	1
