uniprot_acc	source	status
P53985	PDBe_ligand_sites	200
P36021	PDBe_ligand_sites	200
O15427	PDBe_ligand_sites	404
O15374	PDBe_ligand_sites	404
O15375	PDBe_ligand_sites	404
O15403	PDBe_ligand_sites	404
O60669	PDBe_ligand_sites	200
Q14916	PDBe_ligand_sites	404
O00624	PDBe_ligand_sites	404
O00476	PDBe_ligand_sites	404
Q9Y2C5	PDBe_ligand_sites	404
Q9NRA2	PDBe_ligand_sites	200
Q16572	PDBe_ligand_sites	200
P41440	PDBe_ligand_sites	200
O60779	PDBe_ligand_sites	200
P43005	PDBe_ligand_sites	200
P43004	PDBe_ligand_sites	200
P43003	PDBe_ligand_sites	200
P43007	PDBe_ligand_sites	404
Q15758	PDBe_ligand_sites	200
P48664	PDBe_ligand_sites	404
O00341	PDBe_ligand_sites	404
Q8WUM9	PDBe_ligand_sites	404
Q08357	PDBe_ligand_sites	404
P17213	PDBe_ligand_sites	200
Q9UIG8	PDBe_ligand_sites	404
Q96BD0	PDBe_ligand_sites	404
Q92959	PDBe_ligand_sites	200
P46721	PDBe_ligand_sites	404
Q9Y6L6	PDBe_ligand_sites	200
Q9NPD5	PDBe_ligand_sites	200
O94956	PDBe_ligand_sites	404
O15245	PDBe_ligand_sites	200
Q96BI1	PDBe_ligand_sites	404
O15244	PDBe_ligand_sites	200
O75751	PDBe_ligand_sites	200
Q9H015	PDBe_ligand_sites	404
O76082	PDBe_ligand_sites	200
Q4U2R8	PDBe_ligand_sites	200
Q9Y694	PDBe_ligand_sites	404
Q8TCC7	PDBe_ligand_sites	404
Q9UGH3	PDBe_ligand_sites	404
Q9UHI7	PDBe_ligand_sites	200
O60721	PDBe_ligand_sites	404
Q9UI40	PDBe_ligand_sites	404
Q9HC58	PDBe_ligand_sites	404
Q8NFF2	PDBe_ligand_sites	404
Q9H2B4	PDBe_ligand_sites	404
P50443	PDBe_ligand_sites	200
Q6PCB7	PDBe_ligand_sites	404
Q5K4L6	PDBe_ligand_sites	404
Q6P1M0	PDBe_ligand_sites	404
Q9Y2P4	PDBe_ligand_sites	404
O00337	PDBe_ligand_sites	404
O43868	PDBe_ligand_sites	404
Q99808	PDBe_ligand_sites	200
Q14542	PDBe_ligand_sites	404
P11166	PDBe_ligand_sites	200
P11168	PDBe_ligand_sites	404
P11169	PDBe_ligand_sites	200
P14672	PDBe_ligand_sites	200
P22732	PDBe_ligand_sites	404
Q9UGQ3	PDBe_ligand_sites	404
Q9Y6M5	PDBe_ligand_sites	200
O15431	PDBe_ligand_sites	404
O15432	PDBe_ligand_sites	404
Q06495	PDBe_ligand_sites	404
O95436	PDBe_ligand_sites	404
Q07837	PDBe_ligand_sites	200
P08195	PDBe_ligand_sites	200
P02730	PDBe_ligand_sites	200
P04920	PDBe_ligand_sites	200
P48751	PDBe_ligand_sites	200
Q9Y6R1	PDBe_ligand_sites	404
Q9Y6M7	PDBe_ligand_sites	200
Q2Y0W8	PDBe_ligand_sites	404
Q96Q91	PDBe_ligand_sites	404
P13866	PDBe_ligand_sites	200
P31639	PDBe_ligand_sites	200
P53794	PDBe_ligand_sites	404
Q9NY91	PDBe_ligand_sites	404
Q92911	PDBe_ligand_sites	404
Q9Y289	PDBe_ligand_sites	200
P30531	PDBe_ligand_sites	200
P48066	PDBe_ligand_sites	200
P48065	PDBe_ligand_sites	200
Q9NSD5	PDBe_ligand_sites	404
Q9UN76	PDBe_ligand_sites	404
P23975	PDBe_ligand_sites	200
Q01959	PDBe_ligand_sites	200
P31645	PDBe_ligand_sites	200
Q9Y345	PDBe_ligand_sites	200
P31641	PDBe_ligand_sites	200
Q99884	PDBe_ligand_sites	200
P48029	PDBe_ligand_sites	200
P48067	PDBe_ligand_sites	200
P30825	PDBe_ligand_sites	404
Q9NS82	PDBe_ligand_sites	200
Q9UPY5	PDBe_ligand_sites	200
P52569	PDBe_ligand_sites	404
