therapeutic	target_annotation	arm_group	component	status	candidate_hgnc_ids	exclusion_reference
Timcevibart	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Tinurilimab	CEACAM6/CD66c	0	CEACAM6/CD66c	approved_symbol	HGNC:1818	
Tiragolumab	TIGIT/WUCAM/VSTM3	0	TIGIT/WUCAM/VSTM3	approved_symbol	HGNC:26838	
Tirnovetmab	IL31 (Canine)	0	IL31 (Canine)	nonhuman_target		
Tislelizumab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Tisotumab	F3/CD142	0	F3/CD142	approved_symbol	HGNC:3541	
Tixagevimab	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Tixentamig	CD3E;CLDN18	0	CD3E	approved_symbol	HGNC:1674	
Tixentamig	CD3E;CLDN18	1	CLDN18	approved_symbol	HGNC:2039	
Tixestobart	TNFRSF7/CD27	0	TNFRSF7/CD27	approved_symbol	HGNC:11922	
Tizetatug	TACSTD2/TROP2/EGP1	0	TACSTD2/TROP2/EGP1	approved_symbol	HGNC:11530	
Tobemstomig	PDCD1/CD279/PD1;LAG3/CD223	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Tobemstomig	PDCD1/CD279/PD1;LAG3/CD223	1	LAG3/CD223	approved_symbol	HGNC:6476	
Tobevibart	Human Papillomavirus Envelope Protein	0	Human Papillomavirus Envelope Protein	unresolved_or_nonprotein		
Tocilizumab	IL6R/CD126	0	IL6R/CD126	approved_symbol	HGNC:6019	
Tomaralimab	TLR2/CD282	0	TLR2/CD282	approved_symbol	HGNC:11848	
Tomuzotuximab	EGFR/ERBB1/HER1	0	EGFR/ERBB1/HER1	approved_symbol	HGNC:3236	
Toripalimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Torudokimab	IL33	0	IL33	approved_symbol	HGNC:16028	
Torvutatug	FOLR1	0	FOLR1	approved_symbol	HGNC:3791	
Tosatoxumab	Staphylococcus aureus Toxin A	0	Staphylococcus aureus Toxin A	unresolved_or_nonprotein		
Tovecimig	VEGFA	0	VEGFA	approved_symbol	HGNC:12680	
Tovetumab	PDGFRA/CD140A	0	PDGFRA/CD140A	approved_symbol	HGNC:8803	
Tozorakimab	IL33	0	IL33	approved_symbol	HGNC:16028	
Trabikibart	CSF2RB/CD131/IL3RB/IL5RB	0	CSF2RB/CD131/IL3RB/IL5RB	approved_symbol	HGNC:2436	
Tralokinumab	IL13	0	IL13	approved_symbol	HGNC:5973	
Trastuzumab	ERBB2/CD340/HER2	0	ERBB2/CD340/HER2	approved_symbol	HGNC:3430	
Traxivitug	BK Polyomavirus Major Capsid Protein VP1	0	BK Polyomavirus Major Capsid Protein VP1	unresolved_or_nonprotein		
Tregalizumab	CD4	0	CD4	approved_symbol	HGNC:1678	
Tremelimumab	CTLA4/CD152	0	CTLA4/CD152	approved_symbol	HGNC:2505	
Trevogrumab	MSTN/GDF8/GDF-8	0	MSTN/GDF8/GDF-8	approved_symbol	HGNC:4223	
Trevotamig	EPCAM/CD326;CD3E	0	EPCAM/CD326	approved_symbol	HGNC:11529	
Trevotamig	EPCAM/CD326;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Trinbelimab	RhD/CD240D/RhPI	0	RhD/CD240D/RhPI	approved_symbol	HGNC:10009	
Trontinemab	APP Abeta 1-40/42;TFRC/CD71	0	APP Abeta 1-40/42	reviewed_gene_product	HGNC:620	
Trontinemab	APP Abeta 1-40/42;TFRC/CD71	1	TFRC/CD71	approved_symbol	HGNC:11763	
Trosunilimab	ITGA4B7	0	ITGA4B7	complex_target_not_direct_subunit		
Trovostobart	VSIR/VISTA/B7H5/PD1H/SISP1	0	VSIR/VISTA/B7H5/PD1H/SISP1	approved_symbol	HGNC:30085	
Tucotuzumab	EPCAM/CD326	0	EPCAM/CD326	approved_symbol	HGNC:11529	
Tulisokibart	TNFSF15/TL1A/VEGI	0	TNFSF15/TL1A/VEGI	approved_symbol	HGNC:11931	
Tuparstobart	LAG3/CD223	0	LAG3/CD223	approved_symbol	HGNC:6476	
Turenkibart	IL17A	0	IL17A	approved_symbol	HGNC:5981	
Tusamitamab	CEACAM5/CD66e	0	CEACAM5/CD66e	approved_symbol	HGNC:1817	
Tuvonralimab	CTLA4/CD152	0	CTLA4/CD152	approved_symbol	HGNC:2505	
Ubamatamab	MUC16/CA125;CD3E	0	MUC16/CA125	approved_symbol	HGNC:15582	
Ubamatamab	MUC16/CA125;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Ubletamig	MUC16/CA125;CD28	0	MUC16/CA125	approved_symbol	HGNC:15582	
Ubletamig	MUC16/CA125;CD28	1	CD28	approved_symbol	HGNC:1653	
Ublituximab	MS4A1/CD20	0	MS4A1/CD20	approved_symbol	HGNC:7315	
Ucenprubart	MOX2R/CD200R1	0	MOX2R/CD200R1	approved_symbol	HGNC:24235	
Ulenistamab	PAUF	0	PAUF	unresolved_or_nonprotein		
Uliledlimab	NT5E/CALJA/CD73	0	NT5E/CALJA/CD73	approved_symbol	HGNC:8021	
Ulocuplumab	CXCR4/CD184	0	CXCR4/CD184	approved_symbol	HGNC:2561	
Ulviprubart	KLRG1	0	KLRG1	approved_symbol	HGNC:6380	
Umesolerbart	Bet v 1	0	Bet v 1	unresolved_or_nonprotein		
Umikibart	HGF	0	HGF	approved_symbol	HGNC:4893	
Umizortamig1	EGFRvIII;CD3E	0	EGFRvIII	reviewed_gene_product	HGNC:3236	
Umizortamig1	EGFRvIII;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Umizortamig2	PDL1/CD274;TNFRSF9/CD137/4-1BB	0	PDL1/CD274	approved_symbol	HGNC:17635	
Umizortamig2	PDL1/CD274;TNFRSF9/CD137/4-1BB	1	TNFRSF9/CD137/4-1BB	approved_symbol	HGNC:11924	
Unasnemab	RGMA	0	RGMA	approved_symbol	HGNC:30308	
Upanovimab	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Uprevstobart	NT5E/CALJA/CD73	0	NT5E/CALJA/CD73	approved_symbol	HGNC:8021	
Upinitatug	SLC34A2	0	SLC34A2	approved_symbol	HGNC:11020	
Urabrelimab	IAP/CD47	0	IAP/CD47	approved_symbol	HGNC:1682	
Urelumab	TNFRSF9/CD137/4-1BB	0	TNFRSF9/CD137/4-1BB	approved_symbol	HGNC:11924	
Urtoxazumab	Shiga-like Toxin II	0	Shiga-like Toxin II	unresolved_or_nonprotein		
Usilnetug	APP Abeta N3pGlu	0	APP Abeta N3pGlu	reviewed_gene_product	HGNC:620	
Ustekinumab	IL12B/CLMFp40	0	IL12B/CLMFp40	approved_symbol	HGNC:5970	
Utomilumab	TNFRSF9/CD137/4-1BB	0	TNFRSF9/CD137/4-1BB	approved_symbol	HGNC:11924	
Vadastuximab	SIGLEC3/CD33/p67	0	SIGLEC3/CD33/p67	approved_symbol	HGNC:1659	
Valanafusp	INSR/CD220	0	INSR/CD220	approved_symbol	HGNC:6091	
Vamikibart	IL6	0	IL6	approved_symbol	HGNC:6018	
Vandortuzumab	STEAP1	0	STEAP1	approved_symbol	HGNC:11378	
Vantictumab	FZD	0	FZD	unresolved_or_nonprotein		
Vanucizumab	ANGPT2;VEGFA	0	ANGPT2	approved_symbol	HGNC:485	
Vanucizumab	ANGPT2;VEGFA	1	VEGFA	approved_symbol	HGNC:12680	
Varisacumab	VEGFA	0	VEGFA	approved_symbol	HGNC:12680	
Varlilumab	TNFRSF7/CD27	0	TNFRSF7/CD27	approved_symbol	HGNC:11922	
Varokibart	IL5	0	IL5	approved_symbol	HGNC:6016	
Vatelizumab	ITGA2/CD49B	0	ITGA2/CD49B	approved_symbol	HGNC:6137	
Vebanvibart	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Vecantoxatug	Clostridium tetani tetanus toxin (TeNT)	0	Clostridium tetani tetanus toxin (TeNT)	unresolved_or_nonprotein		
Vedolizumab	ITGA4B7	0	ITGA4B7	complex_target_not_direct_subunit		
Velaprumig	ALB;CD40LG/CD154	0	ALB	approved_symbol	HGNC:399	
Velaprumig	ALB;CD40LG/CD154	1	CD40LG/CD154	approved_symbol	HGNC:11935	
Veligrotug	IGF1R/CD221	0	IGF1R/CD221	approved_symbol	HGNC:5465	
Velinotamig	TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E	0	TNFRSF17/CD269/BCMA/TNFRSF13A	approved_symbol	HGNC:11913	
Velinotamig	TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Veltuzumab	MS4A1/CD20	0	MS4A1/CD20	approved_symbol	HGNC:7315	
Venanprubart	BTLA/CD272	0	BTLA/CD272	approved_symbol	HGNC:21087	
Vensobafusp	C5	0	C5	approved_symbol	HGNC:1331	
Vepsitamab	MUC17;CD3E	0	MUC17	approved_symbol	HGNC:16800	
Vepsitamab	MUC17;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Vesencumab	NRP1	0	NRP1	approved_symbol	HGNC:8004	
Verekitug	CRLF2	0	CRLF2	approved_symbol	HGNC:14281	
Verenafusp	INSR/CD220	0	INSR/CD220	approved_symbol	HGNC:6091	
Verzistobart	HAVCR2/TIM3	0	HAVCR2/TIM3	approved_symbol	HGNC:18437	
Vibecotamab	IL3RA/CD123;CD3E	0	IL3RA/CD123	approved_symbol	HGNC:6012	
Vibecotamab	IL3RA/CD123;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Vibostolimab	TIGIT/WUCAM/VSTM3	0	TIGIT/WUCAM/VSTM3	approved_symbol	HGNC:26838	
Vilamakitug	IL1A	0	IL1A	approved_symbol	HGNC:5991	
Vilastobart	CTLA4/CD152	0	CTLA4/CD152	approved_symbol	HGNC:2505	
Vilobelimab	C5	0	C5	approved_symbol	HGNC:1331	
Vipalanebart	ADCYAP1/PACAP	0	ADCYAP1/PACAP	approved_symbol	HGNC:241	
Visilizumab	CD3E	0	CD3E	approved_symbol	HGNC:1674	
Vislarafusp	SIRPA	0	SIRPA	approved_symbol	HGNC:9662	
Visugromab	GDF15/MIC1/MIC-1/NAG1/NAG-1/PTGFB	0	GDF15/MIC1/MIC-1/NAG1/NAG-1/PTGFB	approved_symbol	HGNC:30142	
Vixarelimab	OSMR	0	OSMR	approved_symbol	HGNC:8507	
Vixticibart	NPR1/ANPRA/ANPa/GUC2A/GUCY2A/NPRA	0	NPR1/ANPRA/ANPa/GUC2A/GUCY2A/NPRA	approved_symbol	HGNC:7943	
Vixtimotamab	CD3E;SIGLEC3/CD33/p67	0	CD3E	approved_symbol	HGNC:1674	
Vixtimotamab	CD3E;SIGLEC3/CD33/p67	1	SIGLEC3/CD33/p67	approved_symbol	HGNC:1659	
Vobarilizumab	IL6R/CD126;ALB	0	IL6R/CD126	approved_symbol	HGNC:6019	
Vobarilizumab	IL6R/CD126;ALB	1	ALB	approved_symbol	HGNC:399	
Vobramitamab	B7H3/CD276	0	B7H3/CD276	approved_symbol	HGNC:19137	
Vofatamab	FGFR3/CD333	0	FGFR3/CD333	approved_symbol	HGNC:3690	
Volagidemab	GCCR/NR3C1	0	GCCR/NR3C1	approved_symbol	HGNC:7978	
Volociximab	ITGA5B1	0	ITGA5B1	complex_target_not_direct_subunit		
Volrustomig	CTLA4/CD152;PDCD1/CD279/PD1	0	CTLA4/CD152	approved_symbol	HGNC:2505	
Volrustomig	CTLA4/CD152;PDCD1/CD279/PD1	1	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Vonlerolizumab	TNFRSF4/CD134/OX40	0	TNFRSF4/CD134/OX40	approved_symbol	HGNC:11918	
Vonsetamig	TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E	0	TNFRSF17/CD269/BCMA/TNFRSF13A	approved_symbol	HGNC:11913	
Vonsetamig	TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Vopikitug	IL2RA/CD25	0	IL2RA/CD25	approved_symbol	HGNC:6008	
Vopratelimab	ICOS/CD278	0	ICOS/CD278	approved_symbol	HGNC:5351	
Vorsetuzumab	TNFSF7/CD70/CD27LG	0	TNFSF7/CD70/CD27LG	approved_symbol	HGNC:11937	
Voxalatamab	FOLH1/GCPII/PSMA;CD3E	0	FOLH1/GCPII/PSMA	approved_symbol	HGNC:3788	
Voxalatamab	FOLH1/GCPII/PSMA;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Vudalimab	CTLA4/CD152;PDCD1/CD279/PD1	0	CTLA4/CD152	approved_symbol	HGNC:2505	
Vudalimab	CTLA4/CD152;PDCD1/CD279/PD1	1	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Vulinacimab	KDR/CD309/VEGFR2	0	KDR/CD309/VEGFR2	approved_symbol	HGNC:6307	
Vunakizumab	IL17A	0	IL17A	approved_symbol	HGNC:5981	
Xaluritamig	STEAP1;CD3	0	STEAP1	approved_symbol	HGNC:11378	
Xaluritamig	STEAP1;CD3	1	CD3	complex_target_not_direct_subunit		
Xeligekimab	IL17A	0	IL17A	approved_symbol	HGNC:5981	
Xentuzumab	IGF1 and IGF2	0	IGF1	approved_symbol	HGNC:5464	
Xentuzumab	IGF1 and IGF2	0	IGF2	approved_symbol	HGNC:5466	
Xirestomig	PDL1/CD274;TNFRSF9/CD137/4-1BB	0	PDL1/CD274	approved_symbol	HGNC:17635	
Xirestomig	PDL1/CD274;TNFRSF9/CD137/4-1BB	1	TNFRSF9/CD137/4-1BB	approved_symbol	HGNC:11924	
Zadoprubart	BTLA/CD272	0	BTLA/CD272	approved_symbol	HGNC:21087	
Zagotenemab	MAPT	0	MAPT	approved_symbol	HGNC:6893	
Zalifrelimab	CTLA4/CD152	0	CTLA4/CD152	approved_symbol	HGNC:2505	
Zaltenibart	MASP3	0	MASP3	unresolved_or_nonprotein		
Zalutumumab	EGFR/ERBB1/HER1	0	EGFR/ERBB1/HER1	approved_symbol	HGNC:3236	
Zamerovimab	Rabies Virus Spike Glycoprotein G	0	Rabies Virus Spike Glycoprotein G	unresolved_or_nonprotein		
Zampilimab	TGM2	0	TGM2	approved_symbol	HGNC:11778	
Zamubafusp	Human variable immunoglobulin light chain (N-terminal cryptic neo-epitope)	0	Human variable immunoglobulin light chain (N-terminal cryptic neo-epitope)	unresolved_or_nonprotein		
Zanidatamab	ERBB2/CD340/HER2;ERBB2/CD340/HER2	0	ERBB2/CD340/HER2	approved_symbol	HGNC:3430	
Zanidatamab	ERBB2/CD340/HER2;ERBB2/CD340/HER2	1	ERBB2/CD340/HER2	approved_symbol	HGNC:3430	
Zanolimumab	CD4	0	CD4	approved_symbol	HGNC:1678	
Zansecimab	ANGPT2	0	ANGPT2	approved_symbol	HGNC:485	
Zeleciment	TFRC/CD71	0	TFRC/CD71	approved_symbol	HGNC:11763	
Zelminemab	ADCYAP1R1/PAC1	0	ADCYAP1R1/PAC1	approved_symbol	HGNC:242	
Zeluvalimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Zemocimig	F9a;F10	0	F9a	reviewed_gene_product	HGNC:3551	
Zemocimig	F9a;F10	1	F10	approved_symbol	HGNC:3528	
Zenocutuzumab	ERBB3/HER3;ERBB2/CD340/HER2	0	ERBB3/HER3	approved_symbol	HGNC:3431	
Zenocutuzumab	ERBB3/HER3;ERBB2/CD340/HER2	1	ERBB2/CD340/HER2	approved_symbol	HGNC:3430	
Zeripatamig	IAP/CD47;CD19	0	IAP/CD47	approved_symbol	HGNC:1682	
Zeripatamig	IAP/CD47;CD19	1	CD19	approved_symbol	HGNC:1633	
Zifibancimig	ANPT2;VEGFA	0	ANPT2	unresolved_or_nonprotein		
Zifibancimig	ANPT2;VEGFA	1	VEGFA	approved_symbol	HGNC:12680	
Zigakibart	TNFSF13/CD256/APRIL	0	TNFSF13/CD256/APRIL	approved_symbol	HGNC:11928	
Ziltivekimab	IL6	0	IL6	approved_symbol	HGNC:6018	
Zilovertamab	ROR1	0	ROR1	approved_symbol	HGNC:10256	
Zimberelimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Zinlirvimab	HIV-1 gp120 V3	0	HIV-1 gp120 V3	unresolved_or_nonprotein		
Zolbetuximab	CLDN18	0	CLDN18	approved_symbol	HGNC:2039	
Zovostotug	CD163	0	CD163	approved_symbol	HGNC:1631	
Zuberitamab	MS4A1/CD20	0	MS4A1/CD20	approved_symbol	HGNC:7315	
Zubotamig	VTCN1/B7H4;CD3E	0	VTCN1/B7H4	approved_symbol	HGNC:28873	
Zubotamig	VTCN1/B7H4;CD3E	1	CD3E	approved_symbol	HGNC:1674	
