therapeutic	target_annotation	arm_group	component	status	candidate_hgnc_ids	exclusion_reference
Recibokibart	IL1RL2/IL1Rrp2/IL1RRP2/IL-36R/IL36R	0	IL1RL2/IL1Rrp2/IL1RRP2/IL-36R/IL36R	approved_symbol	HGNC:5999	
Refanezumab	SIGLEC4/MAG	0	SIGLEC4/MAG	approved_symbol	HGNC:6783	
Reflocibart	VEGFB	0	VEGFB	approved_symbol	HGNC:12681	
Regdanvimab	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Relatlimab	LAG3/CD223	0	LAG3/CD223	approved_symbol	HGNC:6476	
Relfovetmab	NGFB	0	NGFB	nonhuman_target	HGNC:7808	
Remternetug	APP	0	APP	approved_symbol	HGNC:620	
Remtolumab	IL17A;TNF/TNFA	0	IL17A	approved_symbol	HGNC:5981	
Remtolumab	IL17A;TNF/TNFA	1	TNF/TNFA	approved_symbol	HGNC:11892	
Remzistotug	PVRIG/NECTIN2 receptor/CD112R	0	PVRIG/NECTIN2 receptor/CD112R	approved_symbol	HGNC:32190	
Renvistobart	TIGIT/WUCAM/VSTM3	0	TIGIT/WUCAM/VSTM3	approved_symbol	HGNC:26838	
Reozalimab	PDCD1/CD279/PD1;PDL1/CD274	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Reozalimab	PDCD1/CD279/PD1;PDL1/CD274	1	PDL1/CD274	approved_symbol	HGNC:17635	
Reslizumab	IL5	0	IL5	approved_symbol	HGNC:6016	
Resugosbart	SOST	0	SOST	approved_symbol	HGNC:13771	
Retavibart	RSV gpF	0	RSV gpF	unresolved_or_nonprotein		
Retifanlimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Retlirafusp	PDL1/CD274	0	PDL1/CD274	approved_symbol	HGNC:17635	
Revdofilimab	TNFRSF4/CD134/OX40	0	TNFRSF4/CD134/OX40	approved_symbol	HGNC:11918	
Rezetamig	CD3;SIGLEC2/CD22	0	CD3	complex_target_not_direct_subunit		
Rezetamig	CD3;SIGLEC2/CD22	1	SIGLEC2/CD22	approved_symbol	HGNC:1643	
Rezorstobart	KLRB1	0	KLRB1	approved_symbol	HGNC:6373	
Riliprubart	C1S	0	C1S	approved_symbol	HGNC:1247	
Rilogrotug	GDF15/MIC1/MIC-1/NAG1/NAG-1/PTGFB	0	GDF15/MIC1/MIC-1/NAG1/NAG-1/PTGFB	approved_symbol	HGNC:30142	
Rilotumumab	HGF/SF	0	HGF/SF	approved_symbol	HGNC:4893	
Riltovetbart	IL31 (Canine)	0	IL31 (Canine)	nonhuman_target		
Rilvegostomig	PDCD1/CD279/PD1;TIGIT/WUCAM/VSTM3	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Rilvegostomig	PDCD1/CD279/PD1;TIGIT/WUCAM/VSTM3	1	TIGIT/WUCAM/VSTM3	approved_symbol	HGNC:26838	
Rimteravimab	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Rinatabart	FOLR1	0	FOLR1	approved_symbol	HGNC:3791	
Rinucumab	PDGFRB/CD140B	0	PDGFRB/CD140B	approved_symbol	HGNC:8804	
Ripertamab	MS4A1/CD20	0	MS4A1/CD20	approved_symbol	HGNC:7315	
Risankizumab	IL23A	0	IL23A	approved_symbol	HGNC:15488	
Rituximab	MS4A1/CD20	0	MS4A1/CD20	approved_symbol	HGNC:7315	
Rivabazumab	PcrV type III secretion system	0	PcrV type III secretion system	unresolved_or_nonprotein		
Robatumumab	IGF1R/CD221	0	IGF1R/CD221	approved_symbol	HGNC:5465	
Rocatinlimab	TNFRSF4/CD134/OX40	0	TNFRSF4/CD134/OX40	approved_symbol	HGNC:11918	
Roconkibart	IL17A	0	IL17A	approved_symbol	HGNC:5981	
Roledumab	RhD/CD240D/RhPI	0	RhD/CD240D/RhPI	approved_symbol	HGNC:10009	
Rolinsatamab	PRLR	0	PRLR	approved_symbol	HGNC:9446	
Rolistobart	LILRB4/CD85K	0	LILRB4/CD85K	approved_symbol	HGNC:6608	
Romilkimab	IL13;IL4	0	IL13	approved_symbol	HGNC:5973	
Romilkimab	IL13;IL4	1	IL4	approved_symbol	HGNC:6014	
Romlusevimab	SARS-CoV-2 Spike RBD	0	SARS-CoV-2 Spike RBD	unresolved_or_nonprotein		
Romosozumab	SOST	0	SOST	approved_symbol	HGNC:13771	
Rontalizumab	IFNA1	0	IFNA1	approved_symbol	HGNC:5417	
Rosmantuzumab	RSPO3	0	RSPO3	approved_symbol	HGNC:20866	
Rosnilimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Rosopatamab	FOLH1/GCPII/PSMA	0	FOLH1/GCPII/PSMA	approved_symbol	HGNC:3788	
Rovalpituzumab	DLL3	0	DLL3	approved_symbol	HGNC:2909	
Rovelizumab	ITGAL/CD11A/LFA1A and ITGB2/CD18	0	ITGAL/CD11A/LFA1A	complex_target_not_direct_subunit	HGNC:6148	
Rovelizumab	ITGAL/CD11A/LFA1A and ITGB2/CD18	0	ITGB2/CD18	complex_target_not_direct_subunit	HGNC:6155	
Rozanolixizumab	FCGRT/FcRn	0	FCGRT/FcRn	approved_symbol	HGNC:3621	
Rozibafusp	ICOS/CD278	0	ICOS/CD278	approved_symbol	HGNC:5351	
Rulonilimab	PDCD1/CD279/PD1	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Runimotamab	ERBB2/CD340/HER2;CD3E	0	ERBB2/CD340/HER2	approved_symbol	HGNC:3430	
Runimotamab	ERBB2/CD340/HER2;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Ruplizumab	CD40LG/CD154	0	CD40LG/CD154	approved_symbol	HGNC:11935	
Ruxoprubart	CFB/BFD	0	CFB/BFD	approved_symbol	HGNC:1037	
Ruzaltatug	ERBB3/HER3	0	ERBB3/HER3	approved_symbol	HGNC:3431	
