source	gene	pmid	pmc_id	doi	year	bucket	title
production	CLSTN2	38839271	PMC11672076	10.1136/gutjnl-2024-331903	2024	pmc	Targeting the oncogenic m6A demethylase FTO suppresses tumourigenesis and potentiates immune respons
production	CLSTN2	41273308	PMC12715753	10.1021/acschemneuro.5c00670	2025	pmc	Absolute Membrane Potential Recording with ASAP-Type Genetically Encoded Voltage Indicators Using Fl
production	CLSTN2	39225193	PMC11627132	10.1002/anie.202412320	2024	pmc	Supramolecular Control of Helicene Circularly Polarized Luminescence Emitters in Molecular Solids an
production	CLSTN2	41596663	PMC12842437	10.3390/ijms27021017	2026	pmc	Evaluation of the Idylla IDH1-2 Mutation Assay for the Detection of &lt;i&gt;IDH&lt;/i&gt; Variants 
production	CLSTN2	41742423	PMC13087473	10.1016/j.ajhg.2026.02.001	2026	pmc	Loss-of-function variants in SAXO6, encoding a microtubule inner protein of photoreceptor cilia, cau
production	TUB	41832388	PMC13103105	10.1186/s13550-026-01396-x	2026	pmc	Cell surface oncofetal antigens in prostate cancer: therapeutic potential and radioligand targeting
production	TUB	41923617	PMC13048287	10.1016/j.neuron.2026.03.007	2026	pmc	TMEM145 is a principal component of outer hair cell stereocilia
production	TUB	30914516	PMC6437060	10.1128/mbio.02869-18	2019	pmc	Dynamic Dystroglycan Complexes Mediate Cell Entry of Lassa Virus
production	TUB	41188542	PMC12586464	10.1038/s42003-025-08886-z	2025	pmc	Chemosensation drives divergent social behavior in Drosophila
production	TUB	35579305	PMC9116419	10.1080/19336934.2022.2074783	2022	pmc	Cell mechanics and cell-cell recognition controls by Toll-like receptors in tissue morphogenesis and
production	TUB	31439888	PMC6706427	10.1038/s41598-019-48438-0	2019	pmc	CLIC4 regulates late endosomal trafficking and matrix degradation activity of MMP14 at focal adhesio
production	TUB	40924804	PMC12419797	10.7554/elife.99999	2025	pmc	Glia-mediated gut-brain cytokine signaling couples sleep to intestinal inflammatory responses induce
production	TUB	37326306	PMC10289811	10.7554/elife.82874	2023	pmc	An extracellular vesicle targeting ligand that binds to Arc proteins and facilitates Arc transport i
production	TUB	41174722	PMC12577249	10.1186/s12964-025-02472-w	2025	pmc	The intracellular domains of the DSL ligands Serrate and Delta provide different activities
production	TUB	37516961	PMC10718285	10.1016/j.celrep.2023.112846	2023	pmc	Phospholipids can regulate complex I assembly independent of their role in maintaining mitochondrial
production	KCNC2	39788966	PMC11717940	10.1038/s41467-024-55257-z	2025	pmc	Molecular logic for cellular specializations that initiate the auditory parallel processing pathways
production	KCNC2	41311459	PMC12656895	10.1016/j.addicn.2024.100170	2024	pmc	Parvalbumin expression does not account for discrete electrophysiological profiles of glutamatergic 
production	KCNC2	34448338		10.1002/ajmg.a.62455	2021	no_oa	A recurrent de novo variant supports KCNC2 involvement in the pathogenesis of developmental and epil
production	KCNC2	40722704	PMC12292553	10.3390/biomedicines13071632	2025	pmc	Unidirectional Crosstalk Between NTRK1 and IGF2 Drives ER Stress in Chronic Pain
production	KCNC2	41017705		10.4103/nrr.nrr-d-25-00354	2026	no_oa	Structure and function of voltage-gated sodium channel Nav1.6: Involvement in the pathological proce
production	KCNC2	40995118	PMC12455010	10.1016/j.isci.2025.113409	2025	pmc	N-glycosylation modulates the inactivation kinetics of the Kv3.4 ion channel
production	KCNC2	40830197	PMC12365229	10.1038/s41598-025-15658-6	2025	pmc	Machine learning-based construction of Immunogenic cell death-related score for improving prognosis 
production	KCNC2	38145985	PMC11153027	10.1038/s41380-023-02370-y	2024	pmc	Convergence of the dysregulated regulome in schizophrenia with polygenic risk and evolutionarily con
production	KCNC2	41892960	PMC13028180	10.3390/md24030101	2026	pmc	Astaxanthin as a Therapeutic Candidate for Nociceptive and Inflammatory Pain: Mechanisms and Perspec
production	KCNC2	41011681	PMC12472724	10.3390/molecules30183789	2025	pmc	Myricetin Attenuates Hyperexcitability of Trigeminal Nociceptive Second-Order Neurons in Inflammator
production	MEN1	23209466	PMC3503399	10.1155/2012/705036	2012	pmc	Genetic and clinical features of multiple endocrine neoplasia types 1 and 2
production	MEN1	41210508	PMC12591880	10.3389/fendo.2025.1688399	2025	pmc	Precision stratified treatment of primary hyperparathyroidism based on multilevel emerging biomarker
production	MEN1	41462113	PMC12751932	10.1186/s12876-025-04300-4	2025	pmc	PAX5 expression and its diagnostic utility in gastroenteropancreatic neuroendocrine neoplasm
production	MEN1	41948241	PMC13052453	10.7759/cureus.104820	2026	pmc	Effects of Metformin on Mitochondrial Health and Oxidative Stress in Age-Related Macular Degeneratio
production	MEN1	41565761	PMC12894898	10.1038/s41598-026-37137-2	2026	pmc	Genome-wide screens identify core regulators of cell surface prion protein expression
production	MEN1	42008325		10.54548/njps.v40i2.8	2025	no_oa	Methanol Leaf Extract of &lt;i&gt;Azadirachta Indica&lt;/i&gt; Attenuates Lead Acetate-Induced Cardi
production	MEN1	41514582	PMC12785117	10.3390/cancers18010069	2025	pmc	Epigenetics and the Tumor Microenvironment in Neuroendocrine Tumors
production	MEN1	41630973	PMC12860685	10.1016/j.nbscr.2026.100143	2026	pmc	Toward dissection of diverse neural components in the suprachiasmatic nucleus (SCN) pacemaker networ
production	MEN1	40149663	PMC11940549	10.3390/biomedicines13030687	2025	pmc	Basic-Clinical Analysis of Parathyroid Cancer
production	MEN1	40305907	PMC12088756	10.1016/j.esmoop.2025.105080	2025	pmc	Refining prognostic tools for luminal breast cancer: genetic insights and comprehensive analysis
production	KCNJ12	36829241	PMC9951526	10.1186/s13059-023-02880-6	2023	pmc	DIMPLE: deep insertion, deletion, and missense mutation libraries for exploring protein variation in
production	KCNJ12	35119540	PMC8816744	10.1007/s00018-022-04148-x	2022	pmc	Regulatory mechanisms of cytoneme-based morphogen transport
production	KCNJ12	34916449	PMC8771090	10.4103/1673-5374.330620	2022	pmc	MicroRNA is a potential target for therapies to improve the physiological function of skeletal muscl
production	KCNJ12	23889090		10.1139/cjpp-2012-0413	2013	no_oa	Altered expression of genes for Kir ion channels in dilated cardiomyopathy
production	KCNJ12	40392238	PMC12092002	10.7554/elife.103870	2025	pmc	Flower/FLWR-1 regulates neuronal activity via the plasma membrane Ca&lt;sup&gt;2+&lt;/sup&gt; ATPase
production	KCNJ12	40149987	PMC11940430	10.3390/biom15030451	2025	pmc	Inositol and PIP2/PIP3 Ratio: At the Crossroad of the Biodynamic Interface Between Cells and Their M
production	KCNJ12	36060074	PMC9437851	10.1016/j.isci.2022.104969	2022	pmc	Hypoxia inhibits the cardiac <i>I</i> <sub><i>K1</i></sub> current through SUMO targeting Kir2.1 act
