adcdb_tar_id	antigen_name	gene_symbol_inline
TAR0KRVBQ	Tumor necrosis factor receptor superfamily member 5 (CD40)	CD40
TAR0HWXDI	B-lymphocyte antigen CD19 (CD19); T-cell surface glycoprotein CD3 delta chain (CD3D)	CD3D
TAR0JWSNY	Endoglin (ENG)	ENG
TAR0BWSFH	Mucin-1 (MUC1)	MUC1
TAR0SERWS	Syndecan-1 (SDC1)	SDC1
TAR0PQIJF	Cadherin-17 (CDH17)	CDH17
TAR0IFMJZ	Melanotransferrin (MELTF)	MELTF
TAR0GIFMP	G-protein coupled receptor 20 (GPR20)	GPR20
TAR0BDQMV	Receptor tyrosine-protein kinase erbB-2 (HER2 exon 20)	
TAR0VPZEJ	Lactosylceramide 4-alpha-galactosyltransferase (A4GALT)	A4GALT
TAR0LLYTK	Tumor necrosis factor ligand superfamily member 10 (TNFSF10)	TNFSF10
TAR0YDDCJ	Epidermal growth factor receptor (EGFR); CD276 antigen (CD276)	CD276
TAR0DEDPZ	Tumor necrosis factor receptor superfamily member 1A (TNFRSF1A)	TNFRSF1A
TAR0MKNCY	Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5)	CEACAM5
TAR0DITCA	High affinity immunoglobulin epsilon receptor subunit alpha (FCER1A)	FCER1A
TAR0AXGLF	Hepatocyte growth factor receptor (MET); Epidermal growth factor receptor (EGFR)	EGFR
TAR0OMIUH	Receptor tyrosine-protein kinase erbB-2 (HER2 ECD2); Receptor tyrosine-protein kinase erbB-2 (HER2 ECD4)	
TAR0VCWIQ	Integrin alpha-3 (ITGA3)	ITGA3
TAR0ZYWVJ	Guanylyl cyclase C (GUCY2C)	GUCY2C
TAR0SBVOW	C-C motif chemokine 1 (CCL1)	CCL1
TAR0PJCWM	C-type mannose receptor 2 (MRC2)	MRC2
TAR0LMKRD	Tyrosine-protein kinase Mer (MERTK)	MERTK
TAR0QMHZX	C-C chemokine receptor type 2 (CCR2)	CCR2
TAR0TBGEV	Macrophage mannose receptor 1 (MRC1)	MRC1
TAR0TXBRL	C-C chemokine receptor type 4 (CCR4)	CCR4
TAR0BSGNP	Junctional adhesion molecule C (JAM3)	JAM3
TAR0SNDDA	Asialoglycoprotein receptor 1 (ASGR1)	ASGR1
TAR0DQWRU	C-X-C chemokine receptor type 4 (CXCR4)	CXCR4
TAR0EPIEB	C-X-C chemokine receptor type 5 (CXCR5)	CXCR5
TAR0JLLNP	C-X-C chemokine receptor type 3 (CXCR3)	CXCR3
TAR0DJTYU	Formylglycine-generating enzyme (SUMF1)	SUMF1
TAR0KYIZX	Fibroblast growth factor receptor 1 (FGFR1)	FGFR1
TAR0KFMNY	C-type lectin domain family 4 member C (CLEC4C)	CLEC4C
TAR0SDULL	Mast/stem cell growth factor receptor Kit (KIT)	KIT
TAR0AHWVD	Receptor-type tyrosine-protein phosphatase C (PTPRC)	PTPRC
TAR0XQRSB	G-protein coupled receptor family C group 5 member D (GPRC5D)	GPRC5D
TAR0YDDCH	Epidermal growth factor receptor (EGFR); Receptor tyrosine-protein kinase erbB-2 (ERBB2)	ERBB2
TAR0YDDCK	Receptor tyrosine-protein kinase erbB-3 (HER3); Tumor-associated calcium signal transducer 2 (TROP2)	TROP2
TAR0OHNJK	Lewis Y	
TAR0ZFUOH	Albumin (ALB)	ALB
TAR0NNHUU	Glypican-3 (GPC3)	GPC3
TAR0LAWKO	Glypican-2 (GPC2)	GPC2
TAR0XXLLG	Apolipoprotein D (APOD)	APOD
TAR0OIMZX	CAMPATH-1 antigen (CD52)	CD52
TAR0RPVKX	CD59 glycoprotein (CD59)	CD59
TAR0MQVPS	Tubulin alpha 1B (TUBA1B)	TUBA1B
TAR0MSWGX	Tumor necrosis factor (TNF)	TNF
TAR0ZEXYE	Dipeptidyl peptidase 4 (DPP4)	DPP4
TAR0OFMSA	40S ribosomal protein SA (RPSA)	RPSA
TAR0JMGXV	Membrane cofactor protein (CD46)	CD46
TAR0RYGBQ	Claudin-6 (CLDN6); Claudin-9 (CLDN9)	CLDN9
TAR0RMVAK	Inducible T-cell costimulator (ICOS)	ICOS
TAR0QVFKZ	Male-specific lethal 1 homolog (MSL1)	MSL1
TAR0PBKCW	Kita-kyushu lung cancer antigen 1 (CT83)	CT83
TAR0SYQPS	Programmed cell death 1 ligand 1 (CD274)	CD274
TAR0GORST	Cytotoxic T-lymphocyte protein 4 (CTLA4)	CTLA4
TAR0VKTEC	Macrophage-stimulating protein receptor (MST1R)	MST1R
TAR0PDIRR	Adhesion G-protein coupled receptor G1 (ADGRG1)	ADGRG1
TAR0PNBPC	Neurogenic locus notch homolog protein 3 (NOTCH3)	NOTCH3
TAR0QEXPC	Leucine-rich repeat-containing protein 15 (LRRC15)	LRRC15
TAR0KVKEF	HLA class II histocompatibility antigen gamma chain (CD74)	CD74
TAR0RKGHS	Tumor necrosis factor receptor superfamily member 10B (TNFRSF10B)	TNFRSF10B
TAR0DMCMD	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM9)	ADAM9
TAR0TLUNC	Epidermal growth factor receptor (EGFR); Receptor tyrosine-protein kinase erbB-3 (HER3)	HER3
TAR0RCSUJ	Cathepsin D (CTSD)	CTSD
TAR0FTVRU	Complement factor D (CFD)	CFD
TAR0ZLIBG	Envelope glycoprotein D (Gd)	
TAR0KZAQY	Interferon alpha-1/13 (IFNA1; IFNA13)	
TAR0SRCOJ	Meta-1	
TAR0WGRJX	Mucin-16 (MUC16)	MUC16
TAR0JYLUU	Gasdermin-E (GSDME)	GSDME
TAR0FQEWV	Integrin alpha-5 (ITGA5)	ITGA5
TAR0LXDND	Lymphocyte antigen 6E (LY6E)	LY6E
TAR0MWKKW	Melanoma-associated antigen 1 (MAGEA1)	MAGEA1
TAR0GPIEQ	TRA-1-60	
TAR0UDQEU	Claudin-6 (CLDN6)	CLDN6
TAR0BULZG	Frizzled-7 (FZD7)	FZD7
TAR0WBVOL	Glypican-1 (GPC1)	GPC1
TAR0OUVMC	Claudin-1 (CLDN1)	CLDN1
TAR0NUXWI	Cadherin-3 (CDH3)	CDH3
TAR0ZIMMG	Tissue factor (F3)	F3
TAR0PFWWS	Suppressor of tumorigenicity 14 protein (ST14)	ST14
TAR0EYKXF	Lipolysis-stimulated lipoprotein receptor (LSR)	LSR
TAR0FWJCJ	Urokinase plasminogen activator surface receptor (PLAUR)	PLAUR
TAR0DJPZG	Tyrosine-protein kinase transmembrane receptor ROR2 (ROR2)	ROR2
TAR0EIAGD	Piezo-type mechanosensitive ion channel component 1 (PIEZO1)	PIEZO1
TAR0FBZTE	Endosialin (CD248)	CD248
TAR0BZZWU	Podocalyxin (PODXL)	PODXL
TAR0HXNLQ	Amphiregulin (AREG)	AREG
TAR0TIPAJ	Ganglioside GD2 (GD2)	GD2
TAR0TGDZU	Onco-foetal sialyl-Tn	
TAR0KILQS	Tomoregulin-2 (TMEFF2)	TMEFF2
TAR0PPNOI	5&#039;-nucleotidase (NT5E)	NT5E
TAR0AIVIM	Integrin beta-6 (ITGB6)	ITGB6
TAR0JDMFW	Integrin beta-3 (ITGB3)	ITGB3
TAR0HYSKU	T-cell antigen CD7 (CD7)	CD7
TAR0CZOZP	Carbonic anhydrase 9 (CA9)	CA9
TAR0PXBRT	Delta-like protein 4 (DLL4)	DLL4
TAR0YUGYX	SLAM family member 7 (SLAMF7)	SLAMF7
TAR0TSBSL	Prolyl endopeptidase FAP (FAP)	FAP
TAR0RBHCF	Globo H (globotriaosylceramide)	
TAR0CHCZT	Zinc transporter ZIP6 (SLC39A6)	SLC39A6
TAR0VKQOZ	AF4/FMR2 family member 4 (AFF4)	AFF4
TAR0NGPYZ	Metalloreductase STEAP1 (STEAP1)	STEAP1
TAR0XTVJE	Tax1-binding protein 3 (TAX1BP3)	TAX1BP3
TAR0YXUAF	Anthrax toxin receptor 1 (ANTXR1)	ANTXR1
TAR0RUTUB	Fc receptor-like protein 5 (FCRL5)	FCRL5
TAR0LWLGS	Kidney-associated antigen 1 (KAAG1)	KAAG1
TAR0PHDYQ	T-cell surface glycoprotein CD4 (CD4)	CD4
TAR0CREXX	SLIT and NTRK-like protein 6 (SLITRK6)	SLITRK6
TAR0FBGLQ	Poly [ADP-ribose] polymerase 1 (PARP1)	PARP1
TAR0QJKRF	CUB domain-containing protein 1 (CDCP1)	CDCP1
TAR0NGRBV	Leucine-rich alpha-2-glycoprotein (LRG1)	LRG1
TAR0TVUDL	Intercellular adhesion molecule 1 (ICAM1)	ICAM1
TAR0GDENB	Tumor-associated glycoprotein 72 (TAG-72)	TAG-72
TAR0JXPTV	Inactive tyrosine-protein kinase 7 (PTK7)	PTK7
TAR0PMKUR	Tyrosine-protein kinase receptor UFO (AXL)	AXL
TAR0DSBFQ	Stage-specific embryonic antigen-4 (SSEA-4)	SSEA-4
TAR0OCELX	Alkaline phosphatase, germ cell type (ALPG)	ALPG
TAR0OXEAL	Fibroblast growth factor receptor 2 (FGFR2)	FGFR2
TAR0LEENM	Interleukin-7 receptor subunit alpha (IL7R)	IL7R
TAR0KOXJT	T cell receptor alpha chain constant (TRAC)	TRAC
TAR0QEWGD	Choline transporter-like protein 4 (SLC44A4)	SLC44A4
TAR0XGJXK	Insulin-like growth factor 1 receptor (IGF1R)	IGF1R
TAR0ROZDZ	Collectin-10 (COLEC10)	COLEC10
TAR0UBWTY	Translocator protein (TSPO)	TSPO
TAR0VAQEF	Advanced glycosylation end product-specific receptor (AGER)	AGER
TAR0SJQDK	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (ENPP3)	ENPP3
TAR0ZCCYF	HLA class I histocompatibility antigen, alpha chain G (HLA-G)	HLA-G
TAR0NGJFW	Leucine-rich repeat-containing G-protein coupled receptor 5 (LGR5)	LGR5
TAR0XSNAS	Leucine-rich repeat-containing G-protein coupled receptor 4 (LGR4)	LGR4
TAR0DQHIR	Anthrax toxin receptor 2 (ANTXR2)	ANTXR2
TAR0EGDJA	Epidermal growth factor receptor (EGFR); Hepatocyte growth factor receptor (MET)	MET
TAR0JNOKWK	CD44 antigen (CD44)	CD44
TAR0JNOKW	CD44 antigen (CD44)	CD44
TAR0JNOKO	CD44 antigen variant 9 (CD44v9)	
TAR0LDTBG	Phosphatidylserine synthase 1 (PTDSS1)	PTDSS1
TAR0DYZYV	Interferon alpha/beta receptor 2 (IFNAR2)	IFNAR2
TAR0WNOAJ	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (ENPP1)	ENPP1
TAR0HPNPL	Human gp240 antigen	
TAR0KPWWB	Seizure protein 6 homolog (SEZ6)	SEZ6
TAR0LKRTD	Pro-epidermal growth factor (EGF)	EGF
TAR0DDBTM	T-lymphocyte activation antigen CD86 (CD86)	CD86
TAR0LCGUX	V-set domain-containing T-cell activation inhibitor 1 (VTCN1)	VTCN1
TAR0FMLBT	HLA class II histocompatibility antigen, DR alpha chain (HLA-DRA)	HLA-DRA
TAR0KWONZ	AG7	
TAR0EMQFD	Basigin (BSG)	BSG
TAR0EHRHH	Fibronectin (FN1)	FN1
TAR0HFDKR	Podoplanin (PDPN)	PDPN
TAR0ZNFNB	Fibroblast growth factor receptor 3 (FGFR3)	FGFR3
TAR0YJEGU	Anoctamin-1 (ANO1)	ANO1
TAR0PSTYD	Fibromodulin (FMOD)	FMOD
TAR0UPRHI	CD166 antigen (ALCAM)	ALCAM
TAR0NLCNG	Integrin beta-1 (ITGB1)	ITGB1
TAR0WOWID	Integrin alpha-V (ITGAV)	ITGAV
TAR0FIJGT	Prolactin receptor (PRLR)	PRLR
TAR0VNYPU	Carbonic anhydrase 6 (CA6)	CA6
TAR0OPFHS	Somatostatin receptor type 2 (SSTR2)	SSTR2
TAR0UTVLX	Galectin-3-binding protein (LGALS3BP)	LGALS3BP
TAR0HHTEG	Matrix protein 2 (M)	
TAR0ZCIPA	Aminopeptidase N (ANPEP)	ANPEP
TAR0TJWJC	Melatonin receptor type 1A (MTNR1A)	MTNR1A
TAR0IMOZN	Ephrin-A4 (EFNA4)	EFNA4
TAR0KKFFR	Interleukin-1 receptor-like 1 (IL1RL1)	IL1RL1
TAR0RZESP	Signal transducer CD24 (CD24)	CD24
TAR0RAMUW	LPS O antigen	
TAR0VQXRU	O-acetyl derivative of GD2 ganglioside (OAcGD2)	
TAR0VQYAS	Interferon-stimulated gene 20 kDa protein (ISG20)	ISG20
TAR0FCHHQ	Oncodevelopmental antigen polysialic acid (polySia)	
TAR0TXGBY	Vascular endothelial growth factor receptor 2 (KDR)	KDR
TAR0DIACT	Envelope glycoprotein gp160 (env); Envelope glycoprotein gp41 (env)	
TAR0ODKQM	Fibroblast growth factor receptor 2 (FGFR2); Fibroblast growth factor receptor 4 (FGFR4)	FGFR4
TAR0CCDQN	Amyloid beta precursor like protein 2 (APLP2); Receptor tyrosine-protein kinase erbB-2 (ERBB2)	ERBB2
TAR0XLHGT	Ribonuclease P protein subunit p25 (RPP25)	RPP25
TAR0IQVYF	Ras-related protein R-Ras (RRAS)	RRAS
TAR0NBDHF	Staphylococcus aureus bacteria	
TAR0NDFPE	T-cell immunoreceptor with Ig and ITIM domains (TIGIT)	TIGIT
TAR0ZKUXH	T-cell surface glycoprotein CD3 delta chain (CD3;TPBG)	
TAR0VTJDX	T-cell surface glycoprotein CD3 delta chain (CD3D); Programmed cell death protein 1 (PDCD1)	PDCD1
TAR0HELFC	Delta-like protein 3 (DLL3)	DLL3
TAR0NTSJM	Cellular tumor antigen p53 (TP53)	TP53
TAR0HUHBL	Fc receptor-like protein 5 (FCRL5); Myeloid cell surface antigen CD33 (CD33)	CD33
TAR0GAQGW	Ly6/PLAUR domain-containing protein 3 (LYPD3)	LYPD3
TAR0DFTLT	Probable phosphatidylethanolamine transferase Mcr-1 (mcr1)	
TAR0OABCF	Programmed cell death 1 ligand 1 (CD274); Annexin A13 (ANXA13)	ANXA13
TAR0MVKGL	GDNF family receptor alpha-1 (GFRA1)	GFRA1
TAR0OQXXC	Metaxin 1 (MTX1)	MTX1
TAR0KMJYX	Prominin-1 (PROM1)	PROM1
TAR0MREBI	Sequestosome-1 (SQSTM1)	SQSTM1
TAR0TAUFB	Mucosal vascular addressin cell adhesion molecule 1 (MADCAM1)	MADCAM1
TAR0LIXOR	Receptor tyrosine-protein kinase erbB-3 (HER3); Mucin-1 (MUC1)	MUC1
TAR0YDDCX	CD276 antigen (CD276); Programmed cell death 1 ligand 1 (CD274)	CD274
TAR0VLRDR	Leukocyte surface antigen CD47 (CD47); Programmed cell death 1 ligand 1 (CD274)	CD274
TAR0NHFQP	Programmed cell death 1 ligand 1 (CD274); Programmed cell death 1 ligand 2 (PDCD1LG2)	PDCD1LG2
TAR0YDDCE	Alkaline phosphatase, germ cell type (ALPG); Alkaline phosphatase, placental type (ALPP)	ALPP
TAR0HECUK	Tumor-associated calcium signal transducer 2 (TROP2); Epidermal growth factor receptor (EGFR)	EGFR
TAR0KHWXY	Tumor-associated calcium signal transducer 2 (TACSTD2); Inactive tyrosine-protein kinase 7 (PTK7)	PTK7
TAR0DCTSO	Cell surface protein 1 (CSP-1)	CSP-1
TAR0PHQVA	Metalloreductase STEAP2 (STEAP2)	STEAP2
TAR0RORPL	Complement receptor type 1 (CR1)	CR1
TAR0ZJBLJ	Kinesin-like protein KIF11 (KIF11)	KIF11
TAR0HTNYM	Heat shock 70 kDa protein 1A (HSPA1A)	HSPA1A
TAR0UBNCZ	Syndecan-1 (SDC1); Integrin alpha-4 (ITGA4)	ITGA4
TAR0HSEFL	Transmembrane 4 L6 family member 1 (TM4SF1)	TM4SF1
TAR0VTXKI	Teratocarcinoma-derived growth factor 1 (TDGF1)	TDGF1
TAR0LZDRI	C5a anaphylatoxin chemotactic receptor 1 (C5AR1)	C5AR1
TAR0DKSMP	Interleukin-1 receptor accessory protein (IL1RAP)	IL1RAP
TAR0ULKWY	Vascular endothelial growth factor receptor 1 (FLT1)	FLT1
TAR0VGPLE	Transforming growth factor beta-1 proprotein (TGFB1)	TGFB1
TAR0YLQCG	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (CD38)	CD38
TAR0XVDWO	Metaxin 2 (MTX2)	MTX2
TAR0RCCUD	Interleukin-13 (IL13)	IL13
TAR0MIUKZ	4F2 cell-surface antigen heavy chain (SLC3A2)	SLC3A2
TAR0DXTAV	Anti-Muellerian hormone type-2 receptor (AMHR2)	AMHR2
TAR0CTVWQ	Receptor tyrosine-protein kinase erbB-2 (ERBB2); Receptor tyrosine-protein kinase erbB-3 (ERBB3)	ERBB3
TAR0HTZRS	Receptor tyrosine-protein kinase erbB-2 (ERBB2); Tumor-associated calcium signal transducer 2 (TACSTD2)	TACSTD2
TAR0TVCVK	Myotubularin (MTM1)	MTM1
TAR0XXQUD	Dipeptidase 3 (DPEP3)	DPEP3
TAR0TAYXC	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial (OXSM)	OXSM
TAR0YINFU	Receptor tyrosine-protein kinase erbB-3 (HER3); Epidermal growth factor receptor (EGFR)	EGFR
TAR0LXKFL	Receptor tyrosine-protein kinase erbB-3 (ERBB3); Hepatocyte growth factor receptor (MET)	MET
TAR0VFVMQ	Double homeobox protein 4 (DUX4)	DUX4
TAR0GVYZS	Fibroblast growth factor receptor 4 (FGFR4)	FGFR4
TAR0UGGWT	Phospholipid hydroperoxide glutathione peroxidase (GPX4)	GPX4
TAR0ESMRN	Programmed cell death 1 ligand 1 (CD274); Tumor necrosis factor ligand superfamily member 4 (TNFSF4)	TNFSF4
TAR0QRKVF	Poliovirus receptor (PVR)	PVR
TAR0IQIRW	FXYD domain-containing ion transport regulator 5 (FXYD5)	FXYD5
TAR0LZKYJ	Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5); Carcinoembryonic antigen-related cell adhesion molecule 6 (CEACAM6)	CEACAM6
TAR0CYCQM	P2X purinoceptor 7 (P2RX7)	P2RX7
TAR0PTYFP	Cystine/glutamate transporter (SLC7A11)	SLC7A11
TAR0TAPIC	Inactive tyrosine-protein kinase 7 (PTK7); Epidermal growth factor receptor (EGFR)	EGFR
TAR0OXYHF	Growth/differentiation factor 8 (MSTN)	MSTN
TAR0WYJEC	Vesicle-associated membrane protein 8 (VAMP8)	VAMP8
TAR0DBBHK	Tumor necrosis factor receptor superfamily member 12A (TNFRSF12A)	TNFRSF12A
TAR0XYHYS	Integrin alpha-10 (ITGA10)	ITGA10
TAR0RMVXR	ALK tyrosine kinase receptor (ALK)	ALK
TAR0RCKCZ	BET1 homolog (BET1)	BET1
