gene_symbol	uniprot_id	uniprot_name	label_source	surfaceome_label	internal_compartment_hint	uniprot_subcellular	has_cell_membrane_uniprot	has_gpi_uniprot	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
CNTNAP2	Q9UHC6	CNTP2_HUMAN	machine learning	surface	False	Cell projection, axon;Membrane (Single-pass type I membrane protein)	False	False	26.2061	34.8	60.6	301.8305905301354	301.8305905301354
SLC6A2	P23975	SC6A2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	5.54397	9.9	210.9	301.5796384534625	301.5796384534625
LRP11	Q86VZ4	LRP11_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	34.2332	40.2	202.1	300.64042503284605	300.64042503284605
SLC10A3	P09131	P3_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	69.3884	41.4	173.0	297.05682874480783	297.05682874480783
SLC22A3	O75751	S22A3_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	169.813	77.1	130.2	295.61898621816044	295.61898621816044
ZNRF4	Q8WWF5	ZNRF4_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	294.26	112.5	24.7	13.290204979140574	294.26
RNFT1	Q5M7Z0	RNFT1_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	83.0815	60.7	37.9	293.6176911867773	293.6176911867773
TENM3	Q9P273	TEN3_HUMAN	machine learning	surface	False	Cell projection, axon;Membrane (Single-pass membrane protein)	False	False	14.5488	12.3	293.6	121.58219283016842	293.6
C3ORF80	F5H4A9	CC080_HUMAN	machine learning	surface	False	Membrane (Single-pass membrane protein)	False	False	19.9804	12.5	120.9	292.6626990647395	292.6626990647395
VLDLR	P98155	VLDLR_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein);Membrane, clathrin-coated pit (Single-pass type I membrane protein)	False	False	64.7112	32.3	51.2	292.0952446540511	292.0952446540511
PHEX	P78562	PHEX_HUMAN	machine learning	surface	False	Membrane (Single-pass type II membrane protein)	False	False	3.96407	4.8	25.8	291.54909851022603	291.54909851022603
ERVMER34-1	Q9H9K5	MER34_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein);Virion	False	False	3.39142	12.1	120.7	286.381594055621	286.381594055621
SLC19A3	Q9BZV2	S19A3_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	42.9987	43.6	59.6	285.23257460974924	285.23257460974924
IMPG2	Q9BZV3	IMPG2_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	0.825853	282.9	240.2	97.5307474333638	282.9
UGT8	Q16880	CGT_HUMAN	machine learning	surface	False	Membrane (Single-pass membrane protein)	False	False	281.173	244.3	152.2	251.21769162684265	281.173
MST1R	Q04912	RON_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	42.216	30.2	88.3	279.8858702258926	279.8858702258926
MALRD1	Q5VYJ5	MALR1_HUMAN	machine learning	surface	False	Membrane (Single-pass membrane protein)	False	False	9.73444	29.3	31.5	277.85623572382707	277.85623572382707
SLC22A5	O76082	S22A5_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	49.617	33.7	51.0	277.5097791724417	277.5097791724417
CDHR4	A6H8M9	CDHR4_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	12.7255	55.8	2.9	274.0118992658358	274.0118992658358
LRRN4	Q8WUT4	LRRN4_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	14.2266	9.8	273.6	203.9247291047969	273.6
ATP13A3	Q9H7F0	AT133_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	88.8331	41.4	173.6	272.704502458423	272.704502458423
DPP6	P42658	DPP6_HUMAN	machine learning	surface	False	Membrane (Single-pass type II membrane protein)	False	False	80.4805	55.9	72.9	269.09926472645276	269.09926472645276
SPNS3	Q6ZMD2	SPNS3_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	5.74412	29.4	154.5	268.70784488415825	268.70784488415825
ROBO2	Q9HCK4	ROBO2_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	7.49182	13.1	103.3	265.0635637074891	265.0635637074891
TNFSF4	P23510	TNFL4_HUMAN	machine learning	surface	False	Membrane (Single-pass type II membrane protein)	False	False	9.69872	3.7	208.7	265.04519146872974	265.04519146872974
IL27RA	Q6UWB1	I27RA_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	46.5838	15.5	37.2	264.5414184686962	264.5414184686962
SLC36A4	Q6YBV0	S36A4_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	16.8758	18.3	264.1	129.48030491363784	264.1
PLXNC1	O60486	PLXC1_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	54.0453	19.3	88.7	262.867962554563	262.867962554563
LRP3	O75074	LRP3_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein);Membrane, coated pit	False	False	137.673	76.5	75.8	262.32190985290913	262.32190985290913
KCNK5	O95279	KCNK5_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	47.3408	34.0	123.0	261.1245833452447	261.1245833452447
TMEM140	Q9NV12	TM140_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	89.4763	83.5	91.4	261.08838616192645	261.08838616192645
EVA1C	P58658	EVA1C_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	68.5619	30.5	103.6	260.16705140723553	260.16705140723553
ADCY5	O95622	ADCY5_HUMAN	machine learning	surface	False	Cell projection, cilium;Membrane (Multi-pass membrane protein)	False	False	142.566	99.3	107.1	259.5726268262474	259.5726268262474
FLRT3	Q9NZU0	FLRT3_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	15.1757	21.7	123.3	259.05137498292925	259.05137498292925
CD28	P10747	CD28_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	22.8634	28.7	255.9	40.18998415690699	255.9
CD244	Q9BZW8	CD244_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	20.6292	15.9	59.9	255.78615371868335	255.78615371868335
ADCY7	P51828	ADCY7_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	34.5517	27.9	167.9	255.53805671337733	255.53805671337733
SLC15A1	P46059	S15A1_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	63.8232	191.1	84.4	253.45649213357493	253.45649213357493
DLL4	Q9NR61	DLL4_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	48.0086	24.5	105.6	252.78977385838695	252.78977385838695
UBAC2	Q8NBM4	UBAC2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	46.5452	36.5	126.1	250.85228143017096	250.85228143017096
TPSG1	Q9NRR2	TRYG1_HUMAN	machine learning	surface	False	Membrane (Single-pass membrane protein)	False	False	41.4661	13.6	53.6	250.0883826328141	250.0883826328141
LAG3	P18627	LAG3_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	41.1808	22.2	175.0	249.967067941	249.967067941
ADAM19	Q9H013	ADA19_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	76.6438	28.3	200.7	248.3264611989081	248.3264611989081
TSPAN2	O60636	TSN2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	78.205	48.1	246.5	163.64108342028277	246.5
TXNDC15	Q96J42	TXD15_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	72.6456	88.7	155.0	246.23535999877524	246.23535999877524
ENTPD3	O75355	ENTP3_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	91.2155	23.3	148.5	243.80672027376687	243.80672027376687
TMEM116	Q8NCL8	TM116_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	17.5928	56.4	82.0	243.2328150454535	243.2328150454535
FAM171A2	A8MVW0	F1712_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	35.3223	16.1	32.5	243.21595594644057	243.21595594644057
IGSF6	O95976	IGSF6_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	81.1911	28.5	8.9	242.27370902897368	242.27370902897368
TSPAN18	Q96SJ8	TSN18_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	88.8891	78.2	105.3	240.23357648637693	240.23357648637693
SLAMF9	Q96A28	SLAF9_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	1.87385	0.5	48.5	239.71792513928025	239.71792513928025
SLITRK3	O94933	SLIK3_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	26.7861	13.0	238.4	106.66821051637996	238.4
FAM189B	P81408	F189B_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	50.8256	0.0	0.0	238.30971340408396	238.30971340408396
OPN1LW	P04000	OPSR_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	0.080672	237.8	0.6	125.73901237587356	237.8
ADAM11	O75078	ADA11_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	236.914	91.2	78.8	62.608080139303894	236.914
ERVV-1	B6SEH8	ERVV1_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	1.52853	15.1	15.1	236.35210377798887	236.35210377798887
DISP2	A7MBM2	DISP2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	61.8299	25.8	15.6	235.8120909135403	235.8120909135403
SLC17A1	Q14916	NPT1_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	42.0613	157.7	91.3	235.30593006121396	235.30593006121396
TMEM9B	Q9NQ34	TMM9B_HUMAN	machine learning	surface	False	Membrane (Single-pass membrane protein)	False	False	66.1974	73.5	111.2	234.65442431675825	234.65442431675825
SLC10A2	Q12908	NTCP2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	146.536	89.4	92.0	234.45932457278715	234.45932457278715
LRRN3	Q9H3W5	LRRN3_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	31.0804	21.9	234.0	155.55605318072017	234.0
SIRPB2	Q5JXA9	SIRB2_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	52.2218	12.4	31.4	233.22745421966704	233.22745421966704
CACNG6	Q9BXT2	CCG6_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	45.8533	84.9	89.2	232.64619781082115	232.64619781082115
EDAR	Q9UNE0	EDAR_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	5.05231	3.5	88.2	231.87344204771992	231.87344204771992
CLEC4G	Q6UXB4	CLC4G_HUMAN	machine learning	surface	False	Membrane (Single-pass type II membrane protein)	False	False	42.3016	51.0	1.7	231.29556013387395	231.29556013387395
LRRC25	Q8N386	LRC25_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	198.37	58.6	32.0	231.26349784460777	231.26349784460777
TMEM132B	Q14DG7	T132B_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	18.9955	12.5	66.6	230.65515809573225	230.65515809573225
C14ORF132	Q9NPU4	CN132_HUMAN	machine learning	surface	False	Membrane (Single-pass membrane protein)	False	False	171.361	107.7	164.3	230.4633834648203	230.4633834648203
SLC19A2	O60779	S19A2_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	90.1769	101.6	70.8	230.09626098645248	230.09626098645248
MMEL1	Q495T6	MMEL1_HUMAN	machine learning	surface	False	Membrane (Single-pass type II membrane protein);Secreted	False	False	33.602	23.8	16.4	227.33778104962795	227.33778104962795
SCN9A	Q15858	SCN9A_HUMAN	machine learning	surface	False	Membrane (Multi-pass membrane protein)	False	False	8.26091	5.7	226.7	62.70797355207436	226.7
LRRN4CL	Q8ND94	LRN4L_HUMAN	machine learning	surface	False	Membrane (Single-pass type I membrane protein)	False	False	75.601	31.7	41.0	225.57972655275344	225.57972655275344
