gene_symbol	gene_symbol_aliases	matched_surfaceome_gene_symbol	lookup_match_source	lookup_match_input_symbol	target_name	control_class	control_group	is_pinned_specified_negative	in_m1_candidate_universe	matched_m1_gene_symbol	m1_match_source	in_parent_surfaceome_2379	surfaceome_label	label_source	uniprot_id	has_cell_membrane_uniprot	passes_topology_gate	uniprot_subcellular	provenance	source_note
SCARB2		SCARB2	direct_symbol	SCARB2	LIMP-2 (SCARB2)	positive_surfaceome	lytac_benchmark;patent_delivery_handles	no	yes	SCARB2	direct_symbol	yes	surface	machine learning	Q14108	False	True	Lysosome membrane (Multi-pass membrane protein)	canonical_delivery_positive_controls.controls.json (Lycia WO2024155750A1 handles + IGF2R/CI-M6PR handle) | canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Lycia handle list in WO2024155750A1.
SORT1		SORT1	direct_symbol	SORT1	Sortilin (SORT1)	positive_surfaceome	lytac_benchmark;patent_delivery_handles	no	yes	SORT1	direct_symbol	yes	surface	pos. trainingset	Q99523	True	True	Cell membrane (Single-pass type I membrane protein|Extracellular side;Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endosome membrane (Single-pass type I membrane protein);Golgi apparatus, Golgi stack membrane (Single-pass type I membrane protein);Lysosome membrane (Single-pass type I membrane protein);Membrane (Single-pass type I membrane protein);Nucleus membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json (Lycia WO2024155750A1 handles + IGF2R/CI-M6PR handle) | canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Lycia handle list in WO2024155750A1.
ACKR3		ACKR3	direct_symbol	ACKR3	CXCR7 (ACKR3)	positive_surfaceome	patent_delivery_handles	no	yes	ACKR3	direct_symbol	yes	surface	pos. trainingset	P25106	True	True	Cell membrane (Multi-pass membrane protein);Cytoplasm, perinuclear region;Early endosome;Recycling endosome	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Added per Kinetac CXCR7 targeting mention.
ADAM9		ADAM9	direct_symbol	ADAM9	ADAM9	positive_surfaceome	patent_delivery_handles	no	yes	ADAM9	direct_symbol	yes	surface	pos. trainingset	Q13443	True	True	Cell membrane (Single-pass type I membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
ADGRG1	GPR56	GPR56	mygene_alias	ADGRG1	GPR56 (ADGRG1)	positive_surfaceome	patent_delivery_handles	no	yes	GPR56	mygene_alias	yes	surface	pos. trainingset	Q9Y653	True	True	Cell membrane (Multi-pass membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
ALCAM		ALCAM	direct_symbol	ALCAM	CD166 (ALCAM)	positive_surfaceome	patent_delivery_handles	no	yes	ALCAM	direct_symbol	yes	surface	machine learning	Q13740	False	True	Membrane (Single-pass type I membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
ALPP		ALPP	direct_symbol	ALPP	ALPP (PLAP)	positive_surfaceome	patent_delivery_handles	no	yes	ALPP	direct_symbol	yes	surface	GPI (UniProt)	P05187	True	True	Cell membrane (Lipid-anchor, GPI-anchor)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
AXL		AXL	direct_symbol	AXL	AXL	positive_surfaceome	patent_delivery_handles	no	yes	AXL	direct_symbol	yes	surface	pos. trainingset	P30530	True	True	Cell membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
CD276		CD276	direct_symbol	CD276	B7-H3 (CD276)	positive_surfaceome	patent_delivery_handles	no	yes	CD276	direct_symbol	yes	surface	machine learning	Q5ZPR3	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Highlight handle list in WO2024036333A2.
CD40		CD40	direct_symbol	CD40	CD40	positive_surfaceome	patent_delivery_handles	no	yes	CD40	direct_symbol	yes	surface	pos. trainingset	P25942	True	True	Cell membrane (Single-pass type I membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
