gene_symbol	uniprot_id	uniprot_name	surfaceome_label	label_source	already_in_control_panel	internal_compartment_hint	has_cell_membrane_uniprot	has_gpi_uniprot	is_only_secreted_uniprot	uniprot_subcellular	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
ABCC9	O60706	ABCC9_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	19.8826	28.4	41.1	99.5731945744441	99.5731945744441
AVPR2	P30518	V2R_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	16.5661	12.5	16.2	99.04315958671296	99.04315958671296
OPRK1	P41145	OPRK_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	4.52752	3.8	46.7	98.76208523110408	98.76208523110408
BMPR2	Q13873	BMPR2_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	44.0685	21.8	58.6	98.39992688877088	98.39992688877088
CD300C	Q08708	CLM6_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	25.2024	9.2	73.0	98.37946711857822	98.37946711857822
LY75	O60449	LY75_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	0.0	73.1	97.8	0.0	97.8
GPR85	P60893	GPR85_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	6.91536	29.7	69.4	97.65251031755568	97.65251031755568
GPR173	Q9NS66	GP173_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	36.0603	16.9	97.6	92.2568649155008	97.6
IGSF9B	Q9UPX0	TUTLB_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	97.311	44.7	79.8	90.59026222582224	97.311
GABRB2	P47870	GBRB2_HUMAN	surface	machine learning	False	False	True	False	False	Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)	69.4657	41.3	42.9	97.03175972096456	97.03175972096456
INSRR	P14616	INSRR_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	5.44131	3.8	96.9	62.899518306896056	96.9
ABCA13	Q86UQ4	ABCAD_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	1.89774	42.1	89.9	96.46174769184276	96.46174769184276
PKD1L2	Q7Z442	PK1L2_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	5.69886	8.1	36.3	95.25248686534088	95.25248686534088
ABCA12	Q86UK0	ABCAC_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	36.6112	19.6	95.2	90.60282171195844	95.2
CLEC1B	Q9P126	CLC1B_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type II membrane protein)	6.4359	74.8	84.8	94.850586537394	94.850586537394
SIGLEC9	Q9Y336	SIGL9_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	45.9494	19.9	26.8	94.6010800594331	94.6010800594331
ERVFRD-1	P60508	SYCY2_HUMAN	surface	machine learning	False	False	True	False	False	Virion;Cell membrane (Single-pass membrane protein)	1.17725	34.8	35.7	94.43728910179937	94.43728910179937
SPACA1	Q9HBV2	SACA1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	94.3297	39.5	0.2	23.649520014858275	94.3297
MANSC4	A6NHS7	MANS4_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	5.17992	1.3	12.4	94.2672473230431	94.2672473230431
NKAIN2	Q5VXU1	NKAI2_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	68.4859	84.1	90.4	94.26071337251037	94.26071337251037
PCDHB7	Q9Y5E2	PCDB7_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	8.20071	4.0	24.4	93.68100189029477	93.68100189029477
PCDHB4	Q9Y5E5	PCDB4_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	10.1603	8.0	17.3	93.2404800585754	93.2404800585754
EDA	Q92838	EDA_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type II membrane protein);Secreted	5.33333	9.1	28.2	91.91856082802916	91.91856082802916
CACHD1	Q5VU97	CAHD1_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	30.907	24.5	90.0	90.77254529667556	90.77254529667556
ADCY9	O60503	ADCY9_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	40.1368	48.5	71.8	90.50866799187808	90.50866799187808
